INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2026-09-18T07:05:00-00:00,2026-09-18T07:10:00-00:00,2026-09-18,01,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,LMP,LMP_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,37.99533,2,10
2026-09-18T07:00:00-00:00,2026-09-18T07:05:00-00:00,2026-09-18,01,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_ZP26_GEN-APND,ALL_APNODES,0,0.14831,1,11
2026-09-18T07:05:00-00:00,2026-09-18T07:10:00-00:00,2026-09-18,01,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_ZP26_GEN-APND,ALL_APNODES,0,0.15408,2,11
2026-09-18T07:00:00-00:00,2026-09-18T07:05:00-00:00,2026-09-18,01,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,RTM,MCE,LMP_ENE_PRC,TH_ZP26_GEN-APND,ALL_APNODES,0,37.26473,1,12
2026-09-18T07:05:00-00:00,2026-09-18T07:10:00-00:00,2026-09-18,01,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,RTM,MCE,LMP_ENE_PRC,TH_ZP26_GEN-APND,ALL_APNODES,0,37.26353,2,12
2026-09-18T07:00:00-00:00,2026-09-18T07:05:00-00:00,2026-09-18,01,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,RTM,MGHG,LMP_GHG_PRC,TH_ZP26_GEN-APND,ALL_APNODES,0,0.53726,1,13
2026-09-18T07:05:00-00:00,2026-09-18T07:10:00-00:00,2026-09-18,01,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,RTM,MGHG,LMP_GHG_PRC,TH_ZP26_GEN-APND,ALL_APNODES,0,0.93472,2,13
2026-09-18T07:00:00-00:00,2026-09-18T07:05:00-00:00,2026-09-18,01,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,RTM,MCL,LMP_LOSS_PRC,TH_ZP26_GEN-APND,ALL_APNODES,0,-1.41379,1,14
2026-09-18T07:05:00-00:00,2026-09-18T07:10:00-00:00,2026-09-18,01,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,RTM,MCL,LMP_LOSS_PRC,TH_ZP26_GEN-APND,ALL_APNODES,0,-1.42861,2,14
2026-09-18T07:00:00-00:00,2026-09-18T07:05:00-00:00,2026-09-18,01,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,RTM,LMP,LMP_PRC,TH_ZP26_GEN-APND,ALL_APNODES,0,36.53651,1,15
2026-09-18T07:05:00-00:00,2026-09-18T07:10:00-00:00,2026-09-18,01,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,TH_ZP26_GEN-APND,RTM,LMP,LMP_PRC,TH_ZP26_GEN-APND,ALL_APNODES,0,36.92371,2,15
